Nr,x,y,H,Kodi,Përshkrimi,Burimi
Fe01M,7510693.832,4691608.065,659.768,11,Monoment,PM
48282,7509497.54,4689695.264,651.6046,2,Kunjë - shtyllë metalik,PM
48283,7509515.1,4689708.483,653.275,2,Kunjë - shtyllë metalik,PM
48284,7509520.24,4689717.672,654.1528,2,Kunjë - shtyllë metalik,PM
48285,7509529.809,4689720.102,654.2384,2,Kunjë - shtyllë metalik,PM
48286,7509559.009,4689726.861,657.122,2,Kunjë - shtyllë metalik,PM
50614,7509312.253,4689702.449,661.944,2,Kunjë - shtyllë metalik,PM
50615,7509340.212,4689701.398,658.3037,2,Kunjë - shtyllë metalik,PM
50616,7509359.462,4689701.947,658.724,2,Kunjë - shtyllë metalik,PM
50619,7509310.563,4689751.167,674.6404,2,Kunjë - shtyllë metalik,PM
50620,7509311.213,4689726.608,667.0663,2,Kunjë - shtyllë metalik,PM
50621,7509311.483,4689715.478,664.2018,2,Kunjë - shtyllë metalik,PM
50623,7509346.133,4689774.186,675.9033,2,Kunjë - shtyllë metalik,PM
50624,7509343.743,4689767.286,673.984,2,Kunjë - shtyllë metalik,PM
50625,7509330.463,4689764.846,674.2641,2,Kunjë - shtyllë metalik,PM
50626,7509320.363,4689755.857,674.0665,2,Kunjë - shtyllë metalik,PM
50629,7509366.143,4689774.995,676.1442,2,Kunjë - shtyllë metalik,PM
50630,7509374.253,4689777.155,676.2822,2,Kunjë - shtyllë metalik,PM
50631,7509383.443,4689781.754,676.6056,2,Kunjë - shtyllë metalik,PM
50632,7509400.873,4689795.813,677.2858,2,Kunjë - shtyllë metalik,PM
50633,7509413.003,4689802.543,676.859,2,Kunjë - shtyllë metalik,PM
50634,7509426.523,4689815.522,676.6369,2,Kunjë - shtyllë metalik,PM
50635,7509433.823,4689825.802,676.2699,2,Kunjë - shtyllë metalik,PM
50636,7509442.473,4689842.851,676.9616,2,Kunjë - shtyllë metalik,PM
50637,7509445.973,4689854.98,677.4281,2,Kunjë - shtyllë metalik,PM
50638,7509447.034,4689886.439,678.1632,2,Kunjë - shtyllë metalik,PM
50639,7509467.583,4689872.909,677.0858,2,Kunjë - shtyllë metalik,PM
50640,7509467.783,4689869.139,676.8495,2,Kunjë - shtyllë metalik,PM
50641,7509467.583,4689853.47,675.2964,2,Kunjë - shtyllë metalik,PM
50642,7509467.982,4689838,673.3809,2,Kunjë - shtyllë metalik,PM
50643,7509570.9,4689818.628,669.6779,2,Kunjë - shtyllë metalik,PM
50644,7509639.849,4689805.786,667.1843,2,Kunjë - shtyllë metalik,PM
50645,7509606.539,4689777.938,665.5312,2,Kunjë - shtyllë metalik,PM
50646,7509594.089,4689771.109,664.1126,2,Kunjë - shtyllë metalik,PM
50647,7509570.219,4689748.65,660.239,2,Kunjë - shtyllë metalik,PM
50648,7509559.379,4689740.621,658.513,2,Kunjë - shtyllë metalik,PM
50649,7509513.806,4689761.927,661.1717,2,Kunjë - shtyllë metalik,PM
50650,7509491.741,4689747.862,662.2159,2,Kunjë - shtyllë metalik,PM
50651,7509452.159,4689739.093,662.714,2,Kunjë - shtyllë metalik,PM
50652,7509437.35,4689730.57,662.555,2,Kunjë - shtyllë metalik,PM
50653,7509426.76,4689724.037,662.4403,,,
50654,7509416.2,4689720.57,661.6605,2,Kunjë - shtyllë metalik,PM
50655,7509384.947,4689709.11,660.0906,2,Kunjë - shtyllë metalik,PM
50732,7509495.546,4689715.813,653.9457,2,Kunjë - shtyllë metalik,PM
50734,7509495.219,4689717.962,654.0086,2,Kunjë - shtyllë metalik,PM
141,7509534.461,4689772.302,663.6965,2,Kunjë - shtyllë metalik,PM
142,7509599.796,4689788.802,666.7269,2,Kunjë - shtyllë metalik,PM
143,7509618.693,4689795.721,667.2066,2,Kunjë - shtyllë metalik,PM
144,7509499.61,4689715.344,653.987,2,Kunjë - shtyllë metalik,PM
145,7509482.003,4689792.483,667.6225,2,Kunjë - shtyllë metalik,PM
146,7509485.25,4689794.871,667.3661,2,Kunjë - shtyllë metalik,PM
147,7509501.286,4689698.084,651.967,2,Kunjë - shtyllë metalik,PM
148,7509473.732,4689803.584,668.9464,2,Kunjë - shtyllë metalik,PM
149,7509477.243,4689805.533,668.3723,2,Kunjë - shtyllë metalik,PM
150,7509468.553,4689817.3,670.4003,2,Kunjë - shtyllë metalik,PM
151,7509470.47,4689817.929,670.208,2,Kunjë - shtyllë metalik,PM
152,7509466.61,4689816.757,670.8563,2,Kunjë - shtyllë metalik,PM
153,7509439.479,4689769.458,669.1778,2,Kunjë - shtyllë metalik,PM
154,7509408.588,4689754.15,668.7215,2,Kunjë - shtyllë metalik,PM
155,7509390.425,4689747.685,668.5063,2,Kunjë - shtyllë metalik,PM
156,7509352.347,4689737.59,667.51,2,Kunjë - shtyllë metalik,PM
157,7509510.423,4689759.738,661.1986,2,Kunjë - shtyllë metalik,PM
158,7509515.272,4689758.113,651.9897,2,Kunjë - shtyllë metalik,PM
